2026-03-19 18:07:03,661 | modules.data_loader  | INFO  |   ETH/USDT 5m — 141000 bougies téléchargées (→ 2022-05-05)
2026-03-19 18:07:06,357 | modules.data_loader  | INFO  |   ETH/USDT 5m — 150000 bougies téléchargées (→ 2022-06-05)
2026-03-19 18:07:06,612 | modules.data_loader  | INFO  |   ETH/USDT 5m — 151000 bougies téléchargées (→ 2022-06-09)
2026-03-19 18:07:09,543 | modules.data_loader  | INFO  |   ETH/USDT 5m — 160000 bougies téléchargées (→ 2022-07-10)
2026-03-19 18:07:09,799 | modules.data_loader  | INFO  |   ETH/USDT 5m — 161000 bougies téléchargées (→ 2022-07-14)
2026-03-19 18:07:12,914 | modules.data_loader  | INFO  |   ETH/USDT 5m — 170000 bougies téléchargées (→ 2022-08-14)
2026-03-19 18:07:13,178 | modules.data_loader  | INFO  |   ETH/USDT 5m — 171000 bougies téléchargées (→ 2022-08-17)
2026-03-19 18:07:15,794 | modules.data_loader  | INFO  |   ETH/USDT 5m — 180000 bougies téléchargées (→ 2022-09-17)
2026-03-19 18:07:16,053 | modules.data_loader  | INFO  |   ETH/USDT 5m — 181000 bougies téléchargées (→ 2022-09-21)
2026-03-19 18:07:18,918 | modules.data_loader  | INFO  |   ETH/USDT 5m — 190000 bougies téléchargées (→ 2022-10-22)
2026-03-19 18:07:19,181 | modules.data_loader  | INFO  |   ETH/USDT 5m — 191000 bougies téléchargées (→ 2022-10-26)
2026-03-19 18:07:22,589 | modules.data_loader  | INFO  |   ETH/USDT 5m — 200000 bougies téléchargées (→ 2022-11-26)
2026-03-19 18:07:22,851 | modules.data_loader  | INFO  |   ETH/USDT 5m — 201000 bougies téléchargées (→ 2022-11-29)
2026-03-19 18:07:26,318 | modules.data_loader  | INFO  |   ETH/USDT 5m — 210000 bougies téléchargées (→ 2022-12-31)
2026-03-19 18:07:26,579 | modules.data_loader  | INFO  |   ETH/USDT 5m — 211000 bougies téléchargées (→ 2023-01-03)
2026-03-19 18:07:29,108 | modules.data_loader  | INFO  |   ETH/USDT 5m — 220000 bougies téléchargées (→ 2023-02-03)
2026-03-19 18:07:29,367 | modules.data_loader  | INFO  |   ETH/USDT 5m — 221000 bougies téléchargées (→ 2023-02-07)
2026-03-19 18:07:32,312 | modules.data_loader  | INFO  |   ETH/USDT 5m — 230000 bougies téléchargées (→ 2023-03-10)
2026-03-19 18:07:32,572 | modules.data_loader  | INFO  |   ETH/USDT 5m — 231000 bougies téléchargées (→ 2023-03-14)
2026-03-19 18:07:36,428 | modules.data_loader  | INFO  |   ETH/USDT 5m — 240000 bougies téléchargées (→ 2023-04-14)
2026-03-19 18:07:36,695 | modules.data_loader  | INFO  |   ETH/USDT 5m — 241000 bougies téléchargées (→ 2023-04-17)
2026-03-19 18:07:40,986 | modules.data_loader  | INFO  |   ETH/USDT 5m — 250000 bougies téléchargées (→ 2023-05-19)
